label,text,answer
2,The Fourth Musketeer,Alexandre Dumas (pere)
2,"Bret Harte wrote a short story about ""The Outcasts of"" this mining camp",Poker Flat
0,Lajes Field is a U.S. Air Force base in this Portuguese island group in the Atlantic,Azores
2,"In 1890 he witnessed a mild cyclone in Aberdeen, South Dakota, fodder for his most famous novel",L. Frank Baum
0,"The Persian Gulf is an arm of the Arabian Sea, which is part of this ocean",Indian Ocean
3,"This great Zulu leader was the son of Nandi & Senzangakona, a Zulu chief",Shaka Zulu
3,"The 2 countries, which, in 1964, merged to form Tanzania",Tanganyika & Zanzibar
1,"The bluegrass hit ""The Ballad of Jed Clampett"" served as this TV show's theme",The Beverly Hillbillies
3,This new form of football was invented in 1823 when a boy carried the ball instead of kicking it,rugby football
1,"In this hit Barry Manilow sings that ""Time in New England took me away, to long rocky beaches & you by the bay""",Weekend In New England
1,"America, ""Tonight""",West Side Story
2,"This California first lady's ""What's Heaven?"" was inspired by the death of her grandmother, Rose Kennedy",Maria Shriver
0,Little Belt is a strait that separates the island of Fyn from this Danish peninsula,Jutland Peninsula
2,C. Auguste Dupin,(Edgar Allan) Poe
0,This French island in the Mediterranean was once ruled by the Bank of San Giorgio in Genoa,Corsica
4,"Squamata, meaning ""scaly"", is the reptile order that composes these two types of creatures",Lizards & snakes
1,Part of the successful production team the Smeezingtons: Bruno ____,Mars
4,"The first modern ones of these, called Lucifers, were invented in 1827 & struck on sandpaper",Matches
4,This eel-like fish seen here is the biggest threat among species invading the Great Lakes,the lamprey eel
1,"Her CD ""Mirrorball"" includes live versions of her songs ""Adia"" & ""I Will Remember You""",Sarah McLachlan
1,"Beethoven's ""Creatures of Prometheus"" is music to accompany this type of performance",a ballet
2,"He was born in ""The Jungle"" of Baltimore in 1878",(Upton) Sinclair
0,"It's the first river mentioned in ""The Legend of Sleepy Hollow""",the Hudson River
2,"The Mystery of Marie Roget followed this Poe story, both featuring detective C. Auguste Dupin",The Murders in the Rue Morgue
4,Scientist John Dalton suffered from the red-green type of this,Colorblindness
3,In 1924 Congress finally passed a law making all these first Americans US citizens,Indians
3,In 1569 Lithuania & this country merged to form the largest single kingdom in Eastern Europe,Poland
2,"In 1677 this poet wrote ""All for Love"", a play adapted from Shakespeare's ""Antony and Cleopatra""",John Dryden
3,"In the first of several marriages, this English king married his sister-in-law in 1509",Henry VIII
2,"Nicole Kidman, Helena Bonham Carter & Cybill Shepherd have all starred in films based on this man's works",Henry James
4,Charles Ellington tethered a moth to this type of tunnel to divine the mechanics of insect flight,a wind tunnel
3,"Martin Luther believed this German magician & astrologer, a Goethe subject, had devilish powers",Faust
2,"In 1671, Milton wrote ""Paradise Regained"", a sequel to this",Paradise Lost
3,Kuan Han-Ch'ing was a leading playwright of this country's Yuan dynasty,China
4,"In the third century B.C. this ""principled"" Greek showed the value of pi was between 223/71 & 220/70",Archimedes
0,"In the Middle Ages, these 2 seas were the center of trade between Hanseatic League ports",the Baltic Sea & the North Sea
0,This island is the only U.S. commonwealth outside the continental U.S.,Puerto Rico
1,"An 1846 Berlioz work on ""The Damnation of"" this man goes back to the Goethe tale",Faust
3,"In a 2003 annual cost-of-living survey, it was ranked as the world's most expensive city",Tokyo
2,"This 1925 novel contains the line ""They were careless people, Tom and Daisy""",The Great Gatsby
3,"This ""Great"" Russian czar's 43-year reign, 1682-1725, was the longest in the Romanov line",Peter the Great
3,A civil war in Paris during his youth convinced this king to build his palace at Versailles,Louis XIV
4,"(Sarah of the Clue Crew in Alaska)  This bovine name is given to the process whereby huge chunks of ice break off glaciers, giving birth to icebergs",calving
1,20th century violin virtuosi include Isaac Stern & this Israel native whose name is a form of Isaac,Itzhak Perlman
1,"Liszt was among the customers of Bosendorfer, a firm that's been making these since 1828",pianos
4,"Murdered at her African research campsite in December 1985, she's sorely ""mist""",Dian Fossey
1,"This ""big band"" leader's most requested song is ""Woodchoppers' Ball""",Woody Herman
1,In 1985 Mick Jagger & David Bowie revived this 21-year-old Martha & The Vandellas hit,Dancing In The Street
2,"Salinas, California (east of... Frisco) was the birthplace of this author, who often referred to it in his work",Steinbeck
1,"This band's ""Train In Vain"" was a hidden track on its original 1979 ""London Calling"" album",The Clash
1,"3 years before ""King of the Road"" sold a million, he was a drummer in Faron Young's band",Roger Miller
1,"April 5, 1994 in Seattle",Kurt Cobain
2,"Another name for a mirror; Alice went ""through"" one",looking-glass
4,"(Cheryl of the Clue Crew at the chalkboard)  By adding two lines, I've turned a math symbol for division into a symbol for this",inequality/not equal to
1,"A carnival barker marries a mill girl, dies in disgrace & returns to Earth to redeem his soul",Carousel
3,The stakes were high for this peasant girl who was burnt at the stake in 1431,Joan of Arc
4,It's the branch of biology dealing with heredity,genetics
2,"In 1923 Vladimir Nabokov translated ""Alice In Wonderland"" into this language",Russian
0,One of the world's best known beaches; it's in Honolulu County near Diamond Head,Waikiki
2,Zorba creator Nikos Kazantzakis,Greece
4,Lavoisier was one of the men on the committee that came up with this measurement system in 1790s France,metric system
2,He had one of his western novels in the Top 10 list every year from 1917 to 1924,Zane Grey
4,In 1905 this way cool scientist published his special theory of relativity,Albert Einstein
4,"To remove poisonous substances, or to purge an addict's body of harmful substances",detox (or detoxification)
1,"Cassie is the talented terpsichorean who sings ""The Music and the Mirror"" in this popular musical",A Chorus Line
2,"Don't ""count"" on missing ""You Stole My Life, I'm Paying You Back!"" featuring this 1844-45 Dumas classic",The Count of Monte Cristo
3,Suleyman Demirel was premier of this country on 5 separate occasions before becoming president in 1993,Turkey
2,"His classic 1946 poem ""Fern Hill"" was inspired by a relative's farm in Wales",Dylan Thomas
0,In 1756 Voltaire said of this political entity that none of the 3 parts of its name was accurate,the Holy Roman Empire
3,"This trio helped bring rap music to middle America when they teamed up with Aerosmith on a version of ""Walk This Way""",Run-D.M.C.
1,"As the witch, P. Rashad went ""Into the Woods"" on Broadway to sing this composer's ditties",(Stephen) Sondheim
3,"Her death in 1603 ended her 45-year reign, & a total of 118 years for the Tudors",Elizabeth I
3,In the 11th century Anawratha became the first ruler to politically unite this country that's also known as Myanmar,Burma
3,In 1970 he became the first democratically elected Marxist to head a nation in the Western Hemisphere,Salvador Allende
4,This yellow element is found in gunpowder & matches & is used in vulcanizing rubber,Sulphur
4,"As it's caused by a lack of niacin, pellagra is termed this type of deficiency disease",vitamin deficiency
2,"The full title of this Spanish novel includes ""de la Mancha, El Ingenioso Hidalgo""",Don Quixote
2,"1985 bestsellers had short titles; Michener's ""Texas"", Sagan's ""Contact"" & her ""Lucky"" are examples",Jackie Collins
3,"A provincial capital was named for George Monteau Dunk, 2nd Earl of this",Halifax
2,"This 1942 French novel begins, ""Mother died today.  Or, maybe, yesterday; I can't be sure.""",The Stranger (L'Etranger)
2,"In addition to his ""Alice"" books, he wrote many math works including ""Euclid and His Modern Rivals""",Lewis Carroll
2,"An edition of this 1934 book had on its cover a crab & ""Not to be imported into Great Britain or U.S.A.""",Tropic of Cancer (by Henry Miller)
3,"Pupil of John Calvin, this John united protestants in Scotland",John Knox
4,"Some ocean sediment is radiolarian ooze, made of these parts of tiny protozoans",skeletons
3,In December 1980 a junta appointed Jose Napoleon Duarte president of this small Central American country,El Salvador
4,A molecule is formed when 2 or more of these combine,Atoms
1,"It's never too early for happy hour in this ""timely"" tune by Alan Jackson & Jimmy Buffett",It's Five O'Clock Somewhere
2,"In 1997 this author of ""The Firm"" & ""The Rainmaker"" published a new legal thriller, ""The Partner""",John Grisham
4,"A week or two after the bite of an Anopheles mosquito, this disease's symptoms may appear",malaria
1,"This song by Seal is from the movie ""Batman Forever""",Kiss From A Rose
2,"In the prologue of a 1952 novel, this author wrote, ""I am an invisible man""",(Ralph) Ellison
1,"Oh, What A Beautiful Mornin'",Oklahoma!
3,"Alaric II, king of this branch of the Goths. was defeated in battle & slain in 507 A.D.",Visigoths
1,Carole King co-wrote this song that was a No. 5 hit for the Drifters in 1962,Up On The Roof
3,"Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country",Eritrea (formerly part of Ethiopia)
3,"In 1347, this ""bubonic"" disease began in Europe; as many as one-third of the population would perish",plague
4,"Named for a German mathematician, it's a process for eliminating or neutralizing a magnetic field",degaussing
0,This Croat capital was formerly Yugoslavia's second largest city,Zagreb
2,It's where Philip Nolan asked to be buried,at sea
2,"Millie's Book..., published in September 1990, is by the presidential dog, as dictated to her",Barbara Bush
2,"Turhan Bey, as this ""Fabled"" author, spent ""A Night in Paradise"" with Merle Oberon but without a ""Moral""",Aesop
2,"A category called Famous Andres would have to include this Frenchman who wrote ""Man's Fate"" & ""Man's Hope""",Andre Malraux
1,"B.o.B. & Hayley Williams recorded a duet about these ""in the night sky like shooting stars""",airplanes
2,"The Last Temptation Of Christ has this many chapters, the traditional number of years of Jesus' life",33
2,This captain of the Ghost rescues literary critic Humphrey Van Weyden & poet Maude Brewster from a shipwreck,Wolf Larsen
0,This shipbuilding city is found on England's Tyne river,Newcastle
2,"Alex Haley described this 1976 blockbuster as ""faction"", a combination of fact & fiction",Roots
3,This removable item used for data storage was introduced in 1971; the first one was 8 inches square,floppy disk
3,More lives were lost in this war that began in 1939 than in any other war in history,World War II
1,"Ironically, Donna McKechnie didn't have to audition to star in this long-running musical about hopeful dancers",A Chorus Line
3,"Born in 1819, she lived until 1901, the last 64 years as queen",Queen Victoria
1,"He intended his wife Clara to play his piano quintet, but when she fell ill, he found not a bad substitute in Felix Mendelssohn",(Robert) Schumann
3,"Changing the electricity industry, this coil man advocated the use of alternating current",Tesla
0,Cape Morris Jesup in the Arctic is the most northerly point on this Danish island,Greenland
2,"It's said that this ""Tom Jones"" author (mistakenly) traced his lineage to the Hapsburgs",Henry Fielding
3,This avuncular nickname for the government was coined by those against the War of 1812,Uncle Sam
0,"Mount Logan, Canada's highest peak, is found in this territory",the Yukon Territory
4,"Newton's Third Law of Motion is usually quoted as ""For every action there is"" this 3-word type of ""reaction""",equal and opposite
2,"He wrote ""Cadillac Jack"" & ""Lonesome Dove"" after ""Terms of Endearment""",Larry McMurtry
2,"In ""The Lion, the Witch and the Wardrobe"", 4 siblings rule this land from the throne at Cair Paravel",Narnia
4,"Developed by astronomer A.E. Douglass, dendrochronology determines age in this way",Counting tree rings
1,"This Khachaturian ""Dance"" with a weapon in its name enlivens the wedding scene in the ballet ""Gayane""",The Sabre Dance
0,"Rivers flowing into this bay include the Susquehanna, James, & Rappahannock",Chesapeake Bay
1,"Two of the ""Three Tenors""","Jose Carreras, Placido Domingo, Luciano Pavarotti"
1,James Galway has recorded this group of Vivaldi violin concerts on the flute,The Four Seasons
4,"Unwelcome in basements, this radioactive element is the heaviest of the noble gases",Radon
3,"Born a slave around 1797, she became famous as a preacher, abolitionist & women's rights activist",Sojourner Truth
3,"This ""rock"" of a general was an unpopular teacher at VMI before the Civil War & was often the target of pranks",Stonewall Jackson
3,Lysander tried & failed to make this militaristic ancient Greek city-state an elective monarchy,Sparta
3,"This garment is now worn in the kitchen, but in the18th century many were considered elegant",an apron
4,Almost the entire mass of an atom is contained in this central portion,Nucleus
1,You might think this Cars leader is married to supermodel Paulina Porizkova (& you'd be right),Ric Ocasek
0,"This river flows through Toledo, Spain on its westerly trip to the sea",Tagus
4,"Plants having these underground stems, from the Greek for ""root"", include irises, bamboo & wild ginger",rhizomes
3,"This Hun got an annual tribute of 2,100 pounds of gold from the Romans",Attila
1,"Commonly, pianos have about 3 of these;  modern pipe organs have 32",pedals
3,"She said, ""I told my plans to no one.  I was not killing a man, but a wild beast that was devouring the French people""",Charlotte Corday
2,Kinsey Millhone,Sue Grafton
2,"When Heidi was at home, he was head of the hut",her grandfather
1,"In 1874 Richard Wagner & his wife moved into Haus Wahnfried, a home in this city, paid for by KIng Ludwig",Bayreuth
3,1948: Johns Hopkins scientists find that this antihistamine alleviates motion sickness,dramamine
1,"Marty Robbins wore it with ""a pink carnation""",a white sport coat
3,"He had a wife named Cleopatra, a daughter named Cleopatra, and a famous son, Alexander the Great",Philip of Macedon/Philip II
4,It was an atom of this element that Otto Hahn split in 1938,Uranium
2,"Several of her suspense novels including ""Let Me Call You Sweetheart"" derive their titles from old songs",Mary Higgins Clark
3,"Ixtlilxochitl II, a chief of Texcoco in Mexico, became an ally of this Conquistador",Cortés
1,"The members of this ""(God Must Havs Spent) A Little More Time on You"" group range in age from 18 to 27",'N Sync
2,"Written in September 1819, his ""To Autumn"" begins, ""Season of mists and mellow fruitfulness.""",Keats
2,"1938: ""For her rich and truly epic descriptions of peasant life in China""",Pearl S. Buck
4,An electric current measuring device developed by Andre Ampere was named this after an Italian anatomist,galvanometer
1,An official Pearl Jam website informs us this singer likes card tricks & the Chicago Bulls,Eddie Vedder
3,Initially Emmeline Pankhurst secured the right to vote in England only for these women,Married women
2,1995: This non-heat-packing seamus from Ireland,Seamus Heaney
3,The post-Civil War laws nicknamed these enforced racial segregation in the south,Jim Crow laws
4,"Piltdown Man, a hoax played on scientists, had a human skull & the jaw of this reddish ape",Orangutan
1,"He was born in Minneapolis in 1958, the son of jazz musician John Nelson",Prince
1,Record producer Billy Sherrill suggested that Virginia Wynette Pugh change her name to this,Tammy Wynette
3,In 1950 2 Puerto Rican nationalists made an attempt on this president's life,Harry S. Truman
1,At age 14 Wynton Marsalis performed Haydn's concerto for this instrument,trumpet
2,"This 1852 work was subtitled ""Life Among the Lowly""",Uncle Tom's Cabin
1,In 1977 they were one of the biggest bands in the world & Steve Miller told us to fly like one of them,The Eagles
1,Pernambuco or brazilwood is frequently used to make this accessory for string players,bows
1,"This performer won a 1981 Grammy for Record of the Year for ""Bette Davis Eyes""",Kim Carnes
3,"After being crowned emporor of Ethiopia in 1930, he introduced a written constitution & abolished slavery",Haile Selassie
3,America's first successful world exposition was held in 1876 in this Pennsylvania city,Philadelphia
2,"In September 1941 this author christened the warship Atlanta, also known as ""The Mighty A""",Margaret Mitchell
4,The only even prime number,2
3,"As of July 1, 1968 you could dial this 3-digit number in New York City & get the police",911
3,"Samuel Adams referred to this April 19, 1775 battle when he said, ""What a glorious morning for America!""","Lexington, Concord"
3,In 1903 the U.S. signed a treaty with Cuba for the rights to establish a naval base at this site,Guantanamo Bay
2,"This ""Remembrance of Things Past"" author was so deathly afraid of germs he wouldn't pick up a pen if he had dropped it",(Marcel) Proust
3,"About 20,000 years ago, hunters crossed what's now this strait to become North American Indians",Bering Strait
3,"On Aug. 27, 1789 this country's national assembly issued its declaration of the rights of man",France
1,"This 1928 work repeats a theme, almost entirely in C major, in an unvarying rhythm & has a crescendo lasting 17 minutes",Boléro (by Ravel)
3,In 1986 Emeril Lagasse became Chief Justice of the U.S.; Bam!,Rehnquist
3,Dance style of brothers & Kennedy Center honorees Fayard & Harold Nicholas,tap
2,"Dan'l Webster was the name of the title amphibian in ""The Celebrated Jumping Frog Of"" this ""County""",Calaveras County
0,This region that covers 1/3 of the Asian continent has only about 11 people per square mile,Siberia
3,In 1986 he became the first Italian-American to sit on the Supreme Court,Antonin Scalia
4,"On this Swedish astronomer's scale, zero represents the ice point & 100 is the steam point",Celsius
1,"In a standard-size symphony orchestra, 35 of the 100 or more musicians may play this instrument",Violin
0,"Located on the Danube, Linz is one of this country's major ports",Austria
3,In 1776 Spain created a colony called the Viceroyalty of the Rio De La Plata on this continent,South America
1,"This No. 1 hit with a ""Spanglish"" title says, ""She never drinks the water, makes you order French champagne""",Livin' La Vida Loca
2,"While he was in Spain in 1959, he wrote ""The Dangerous Summer"", a story about rival bullfighters",Hemingway
0,"Capital of Malaysia, it was once a Chinese tin-mining camp",Kuala Lumpur
0,This bay between Spain & Brittany is named for the Basques who live on the shore there,Bay of Biscay
3,"Lasting about a month, it's the battle for which the most marines earned the Medal of Honor",Iwo Jima
2,"This French writer ""steaked"" a claim as ""The Father of Romanticism"" by writing such works as ""Atala""",(René de) Chateaubriand
3,In 1964 Western Union began using these high-frequency beams transcontinentally to replace land lines,microwaves
1,His son Carl Philipp Emanuel served as court harpsichordist to Prussia's King Frederick II for over 20 years,J.S. Bach
4,"This extinct flying reptile's name is from the Greek for ""finger wing""",pterodactyl
2,Percy's fruit spread,Shelley's jellies
0,Mountain ranges in Mexico include the Sierra Madre Oriental in the east & the Sierra Madre this in the west,Occidental
4,This tube connecting the ear and the throat was named for the scientist who illustrated it in 1552,Eustachian tube
1,"Born in 1810, this pianist studied harmony at the Warsaw Conservatory",Chopin
1,"The title of a 1927 Hermann Hesse novel gave this ""Born To Be Wild"" group its name",Steppenwolf
3,"In 1901 the Senate ratified the Hay-Pauncefote Treaty, allowing the U.S. to build this in Central America",the Panama Canal
2,"Oliver Twist & ""A Tale of Two Cities"" are among the classic novels by this British author",Charles Dickens
3,"Look, it's 1148--how about if the Second Crusade fails horribly in an attack on this Syrian city, then we all go to bed",Damascus
1,"Like ""Hairspray"", the new musical ""Cry-Baby"" is based on a film by this highly unconventional director",John Waters
3,This rebel group in Nicaragua was named for an anti-American rebel of the 1920s,Sandinistas
4,He looked for a safe way to handle nitroglycerin after an 1864 explosion killed his brother,Alfred Nobel
4,"Boric acid, a weak acid, is used as this bacteria-killing infection-preventing type of substance",antiseptic
3,In 1920 the League of Nations gave this neighboring country a mandate over the territory of Namibia,South Africa
2,"Almost all of the poetry of this ""New England Mystic"" was first published after her death in 1886",Emily Dickinson
2,"In his ""Ode on"" this, Keats writes, ""Heard melodies are sweet, but those unheard are sweeter""",a Grecian Urn
1,The process of changing from one key or tonality to another is called this,Transposition/Modulation
1,"In a '70s series, PBS was ""In Performance At"" this Virginia site",Wolf Trap
1,"In 1896 this ""Scheherazade"" composer reorchestrated Mussorgsky's opera ""Boris Godunov""",Rimsky-Korsakov
3,"In 1521 he told the Diet of Worms, ""Here I stand, I cannot do otherwise.  God help me.  Amen""",Martin Luther
2,"He was 4 years old when his family moved to Hannibal, Missouri in 1839",Mark Twain
2,"Argentina's Manuel Puig gave us the ""Kiss of"" this ""Woman""; I read about it on the ""web""",Kiss of the Spider Woman
1,"Trad, as in trad jazz, is short for this",traditional jazz
3,The only first lady it ever had was a Mississippi aristocrat named Varina,The Confederacy
1,"How do you like him now, now that he made his film debut in 2006 as fading country star Bo Price in ""Broken Bridges""",Toby Keith
4,"This largest nerve in the body arises in the sacral plexus, leaves the pelvis & runs down the thigh",the sciatic
1,"The name of this type of sailors' work song is derived from the French word for ""sing""",shanty
4,"In 1611 Johannes Kepler introduced a second convex lens, giving this instrument greater power",a telescope
3,"October 21, 1520: ""Strait to the Pacific!""  He ""finds passage, hopes one day for portable GPS machine to be named for him""",Magellan
1,"In March of 2004 this renowned tenor made his farewell Metropolitan Opera apparance, in ""Tosca""",(Luciano) Pavarotti
3,"Once known as the Gold Coast, it was the first member of the Commonwealth of Nations governed by Black Africans",Ghana
3,"Implicated in a plot to kill Hitler, this ""Desert Fox"" committed suicide rather than stand trial",Erwin Rommel
3,"Due to expansive pork processing facilities, this city on the Ohio River was once known as ""Porkopolis""",Cincinnati
4,"Antoni Van Leeuwenhoek, who made these devices, willed 26 of them to the Brfitish Royal Society",Microscopes
0,Principal port cities on this gulf include Mobile & Tampa,Gulf of Mexico
4,The science which deals with the motion & behavior of bullets,ballistics
1,Emma,Mame
1,"Epiphany & ""The Worst Pies In London""",Sweeney Todd
1,"Until he was 11 years old, he wasn't aware that Mets pitcher Tug was his father",Tim McGraw
2,Dubliners is a collection of short stories by this Irish author,James Joyce
3,The museum's 563-carat sapphire called the Star of India was actually found on this island,Sri Lanka
2,"All stories, if continued far enough, end in death... he wrote in ""Death in the Afternoon""",Ernest Hemingway
3,"South America's most populous city, it was founded by Jesuit priests in 1554",Sao Paulo
2,"This author of ""2010: Odyssey Two"" sold his first science fiction stories while in the RAF during WWII",Arthur C. Clarke
2,"His ""Tropic of Capricorn"" was first published in France in 1939; its U.S. release came 23 years later",Henry Miller
2,"1938's ""Out Of The Silent Planet"" was the first sci-fi novel by this Narnia creator",C.S. Lewis
4,The Faraday effect shows how this type of field can rotate the vibration plane of a beam of polarized light,a magnetic field
3,"In 1273 Rudolf I became the first from this family to rule the Holy Roman Empire, though he was never crowned",the Hapsburgs
3,The 1947 discovery of the Leduc fields began an oil boom in this western province,Alberta
3,By the 6th century this group had joined with the Angles to found kingdoms in Britain,Saxons
3,"The ""thrilling"" Manila brawler seen here in 1975 (he lost)",Joe Frazier
2,"Joseph & His Brothers, a group of novels based on a Bible story, is this German author's longest work",Thomas Mann
2,"George Du Maurier introduced this evil hypnotist in his 1894 novel ""Trilby""",Svengali
2,"Milton's ""Paradise Lost"" is based on this book of the Bible",Genesis
0,The Chicago River flows out of this great lake; the Kalamazoo River flows in,Lake Michigan
0,Vineyard Sound separates Martha's Vineyard from the southernmost part of this cape,Cape Cod
0,Vineyard Sound separates Martha's Vineyard from the southernmost part of this cape,Cape Cod
3,He said he had no difficulty expressing sadness & extreme solitude in the work seen here,Vincent Van Gogh
4,"You have many sweatglands, but only this number of lacrimal glands",2
1,"Italian for ""broad"", it's an indication to play slowly",Largo
2,A sleuth named Kinsey Millhone is the heroine of her alphabet mysteries,Sue Grafton
1,"Tony Orlando & Dawn: ""Knock __ Times""",Three
2,"Notwithstanding many hints to the contrary, he said, ""I still maintain"" Childe Harold ""to be a fictitious personage""",Lord Byron
3,"In an 1863 essay Harriet Beecher Stowe called this woman whom she had met with ""The Libyan Sibyl""",Sojourner Truth
3,Who is that masked man?  It's this subcommander of Zapatista rebels:,Subcomandante Marcos
3,Egyptian boy pharaoh's innards,Tut's guts
2,"Though known for writing nonsense verse, he gave Queen Victoria drawing lessons & Tennyson wrote a poem to him",Edward Lear
